Transcript Cluster ID	Gene Title	Gene Symbol	Entrez Gene ID	Cytoband	GO Description	Transcript Classification
8152244	---	---	---	8q22.3	---	---
8152246	---	---	---	8q22.3	---	---
8152248	---	---	---	8q22.3	---	---
8152280	LDL receptor related protein 12	LRP12	29967	8q22.3	low-density lipoprotein receptor activity /// protein binding /// integral component of plasma membrane /// coated pit /// endocytosis /// receptor-mediated endocytosis /// signal transduction /// integral component of membrane /// regulation of growth /// endocytosis /// membrane /// integral component of membrane /// protein binding	full-length
8152323	eukaryotic translation initiation factor 3, subunit E	EIF3E	3646	8q23.1	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay /// chromatin /// formation of translation preinitiation complex /// translation initiation factor activity /// translation initiation factor activity /// protein binding /// nucleus /// nucleoplasm /// cytoplasm /// cytosol /// eukaryotic translation initiation factor 3 complex /// eukaryotic translation initiation factor 3 complex /// translation /// translational initiation /// translational initiation /// translational initiation /// regulation of translational initiation /// gene expression /// membrane /// eukaryotic 43S preinitiation complex /// PML body /// eukaryotic 48S preinitiation complex /// cellular protein metabolic process /// poly(A) RNA binding /// negative regulation of translational initiation /// protein N-terminus binding /// extracellular exosome /// translation initiation factor activity /// nucleus /// cytoplasm /// eukaryotic translation initiation factor 3 complex /// translation /// translational initiation /// regulation of translational initiation /// PML body /// protein binding	full-length
8152333	---	---	---	8q23.1	---	---
8152369	potassium channel, voltage gated modifier subfamily V, member 1	KCNV1	27012	8q23.2	delayed rectifier potassium channel activity /// plasma membrane /// integral component of plasma membrane /// potassium ion transport /// synaptic transmission /// voltage-gated potassium channel complex /// ion channel inhibitor activity /// potassium channel regulator activity /// regulation of ion transmembrane transport /// protein homooligomerization /// potassium ion transmembrane transport /// ion channel activity /// voltage-gated ion channel activity /// voltage-gated potassium channel activity /// delayed rectifier potassium channel activity /// potassium channel activity /// plasma membrane /// transport /// ion transport /// potassium ion transport /// membrane /// integral component of membrane /// transmembrane transport /// potassium ion transmembrane transport /// potassium ion transmembrane transport /// protein binding	full-length
8152374	---	---	---	8q23.2	---	---
8152376	CUB and Sushi multiple domains 3	CSMD3	114788	8q23.3	plasma membrane /// integral component of membrane /// membrane	full-length
8152477	RAD21 cohesin complex component	RAD21	5885	8q24.11	mitotic cell cycle /// chromosome, centromeric region /// chromatin /// transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding /// protein binding /// nucleoplasm /// nucleoplasm /// chromosome /// cytosol /// double-strand break repair /// DNA recombination /// regulation of transcription from RNA polymerase II promoter /// transcription from RNA polymerase II promoter /// apoptotic process /// chromosome segregation /// mitotic nuclear division /// reciprocal meiotic recombination /// cohesin complex /// membrane /// protein sumoylation /// nuclear meiotic cohesin complex /// post-translational protein modification /// cellular protein metabolic process /// positive regulation of transcription from RNA polymerase II promoter /// cell division /// protein localization to chromatin /// nuclear chromosome /// chromosome, centromeric region /// condensed nuclear chromosome /// nucleus /// chromosome /// DNA repair /// cellular response to DNA damage stimulus /// cell cycle /// cohesin complex /// protein binding	full-length
8152491	exostosin glycosyltransferase 1	EXT1	2131	8q24.11	Golgi membrane /// skeletal system development /// ossification /// endoplasmic reticulum /// endoplasmic reticulum membrane /// Golgi apparatus /// carbohydrate metabolic process /// glycosaminoglycan biosynthetic process /// glycosaminoglycan biosynthetic process /// protein glycosylation /// signal transduction /// gastrulation /// axon guidance /// endoderm development /// mesoderm development /// acetylglucosaminyltransferase activity /// heparan sulfate proteoglycan biosynthetic process /// heparan sulfate proteoglycan biosynthetic process /// heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process /// glucuronosyltransferase activity /// integral component of membrane /// transferase activity, transferring glycosyl groups /// olfactory bulb development /// integral component of endoplasmic reticulum membrane /// glycosaminoglycan metabolic process /// cellular polysaccharide biosynthetic process /// heparan sulfate N-acetylglucosaminyltransferase activity /// protein homodimerization activity /// small molecule metabolic process /// metal ion binding /// protein heterodimerization activity /// glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity /// glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity /// N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity /// N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity /// embryonic skeletal joint development /// Golgi membrane /// endoplasmic reticulum /// endoplasmic reticulum /// endoplasmic reticulum membrane /// endoplasmic reticulum membrane /// Golgi apparatus /// glycosaminoglycan biosynthetic process /// brain development /// heparan sulfate proteoglycan biosynthetic process /// glucuronosyltransferase activity /// membrane /// integral component of membrane /// transferase activity /// transferase activity, transferring glycosyl groups /// integral component of endoplasmic reticulum membrane /// glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity /// N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity	full-length
8152553	TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa	TAF2	6873	8q24.12	G2/M transition of mitotic cell cycle /// transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly /// RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly /// chromatin binding /// protein binding /// nucleoplasm /// transcription factor TFIID complex /// transcription from RNA polymerase II promoter /// transcription initiation from RNA polymerase II promoter /// transcription initiation from RNA polymerase II promoter /// transcription elongation from RNA polymerase II promoter /// proteolysis /// metallopeptidase activity /// zinc ion binding /// gene expression /// response to organic cyclic compound /// viral process /// transcription factor TFTC complex /// sequence-specific DNA binding /// transcription regulatory region DNA binding /// positive regulation of transcription from RNA polymerase II promoter /// RNA polymerase II transcriptional preinitiation complex assembly /// transcription factor activity, RNA polymerase II core promoter sequence-specific binding involved in preinitiation complex assembly /// RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly /// chromatin binding /// nucleus /// transcription, DNA-templated /// regulation of transcription, DNA-templated /// sequence-specific DNA binding /// RNA polymerase II transcriptional preinitiation complex assembly /// binding	full-length
8152582	DNA replication and sister chromatid cohesion 1	DSCC1	79075	8q24.12	chromosome, centromeric region /// chromatin /// DNA clamp loader activity /// protein binding /// nucleoplasm /// DNA replication /// regulation of DNA replication /// Ctf18 RFC-like complex /// maintenance of mitotic sister chromatid cohesion /// post-translational protein acetylation /// DNA binding /// DNA clamp loader activity /// nucleus /// cell cycle /// Ctf18 RFC-like complex	full-length
8152628	derlin 1	DERL1	79139	8q24.13	protease binding /// receptor activity /// protein binding /// early endosome /// late endosome /// endoplasmic reticulum /// endoplasmic reticulum /// response to unfolded protein /// membrane /// integral component of membrane /// intracellular transport of viral protein in host cell /// integral component of endoplasmic reticulum membrane /// ER-associated ubiquitin-dependent protein catabolic process /// ER-associated ubiquitin-dependent protein catabolic process /// ER-associated ubiquitin-dependent protein catabolic process /// endoplasmic reticulum unfolded protein response /// retrograde protein transport, ER to cytosol /// retrograde protein transport, ER to cytosol /// positive regulation of protein ubiquitination /// ubiquitin protein ligase binding /// protein destabilization /// positive regulation of protein binding /// VCP-NPL4-UFD1 AAA ATPase complex /// Derlin-1-VIMP complex /// ERAD pathway /// Derlin-1 retrotranslocation complex /// MHC class I protein binding /// host cell /// establishment of protein localization /// ATPase binding /// protein homooligomerization /// ER-associated misfolded protein catabolic process /// ubiquitin-specific protease binding /// Hrd1p ubiquitin ligase complex /// endoplasmic reticulum membrane /// transport /// viral process /// protein transport /// cellular response to unfolded protein /// endoplasmic reticulum /// response to unfolded protein /// membrane /// integral component of membrane /// protein binding	full-length
8152668	ATPase family, AAA domain containing 2	ATAD2	29028	8q24.13	chromatin binding /// ATP binding /// nucleus /// nucleoplasm /// transcription, DNA-templated /// chromatin modification /// ATPase activity /// negative regulation of chromatin silencing /// histone binding /// positive regulation of transcription, DNA-templated /// positive regulation of transcription from RNA polymerase II promoter /// extracellular exosome /// nucleotide binding /// chromatin binding /// nucleus /// nucleus /// regulation of transcription, DNA-templated /// hydrolase activity /// ATPase activity /// negative regulation of chromatin silencing /// histone binding /// positive regulation of transcription from RNA polymerase II promoter /// protein binding /// metabolic process	full-length
8152734	FER1L6 antisense RNA 1	FER1L6-AS1	439941	8q24.13	---	full-length
8152742	FER1L6 antisense RNA 2	FER1L6-AS2	157376	8q24.13	---	partial
8152750	transmembrane protein 65	TMEM65	157378	8q24.13	cardiac ventricle development /// mitochondrion /// plasma membrane /// intercalated disc /// integral component of membrane /// regulation of cardiac conduction /// membrane	full-length
8152815	transmembrane protein 75	TMEM75	641384	8q24.21	integral component of membrane /// membrane	full-length
8152867	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	ASAP1	50807	8q24.21	GTPase activator activity /// protein binding /// phosphatidylinositol-4,5-bisphosphate binding /// phosphatidylinositol-3,4,5-trisphosphate binding /// cytosol /// organelle organization /// membrane /// dendritic spine /// positive regulation of GTPase activity /// metal ion binding /// cilium morphogenesis /// negative regulation of dendritic spine development /// cytoplasm /// cell projection organization /// integral component of membrane /// protein binding	full-length
8152946	potassium channel, voltage gated KQT-like subfamily Q, member 3	KCNQ3	3786	8q24.22	voltage-gated potassium channel activity /// delayed rectifier potassium channel activity /// potassium channel activity /// calmodulin binding /// plasma membrane /// plasma membrane /// potassium ion transport /// synaptic transmission /// axon guidance /// voltage-gated potassium channel complex /// cell surface /// oligodendrocyte development /// integral component of membrane /// protein kinase binding /// dendrite /// ubiquitin protein ligase binding /// node of Ranvier /// regulation of ion transmembrane transport /// neuronal cell body /// axon initial segment /// ion channel binding /// membrane raft /// membrane hyperpolarization /// ganglion development /// cellular response to ammonium ion /// potassium ion transmembrane transport /// ion channel activity /// voltage-gated ion channel activity /// voltage-gated potassium channel activity /// delayed rectifier potassium channel activity /// potassium channel activity /// plasma membrane /// transport /// ion transport /// potassium ion transport /// voltage-gated potassium channel complex /// membrane /// integral component of membrane /// integral component of membrane /// node of Ranvier /// ion transmembrane transport /// somatodendritic compartment /// neuron projection /// axon initial segment /// transmembrane transport /// potassium ion transmembrane transport /// potassium ion transmembrane transport	full-length
8152962	leucine rich repeat containing 6	LRRC6	23639	8q24.22	cilium movement /// protein binding /// cytoplasm /// cytoplasm /// cilium /// male gonad development /// sperm motility /// outer dynein arm assembly /// inner dynein arm assembly /// motile cilium assembly /// epithelial cilium movement involved in determination of left/right asymmetry /// reproductive system development /// molecular_function /// cell projection /// cytoplasm /// cilium /// male gonad development /// protein binding	full-length
8153037	---	---	---	8q24.22	---	---
8153067	microRNA 30d	MIR30D	407033	8q24.22	---	full-length
8153071	family with sequence similarity 135, member B	FAM135B	51059	8q24.23	cellular lipid metabolic process /// carboxylic ester hydrolase activity /// cellular lipid metabolic process /// carboxylic ester hydrolase activity	full-length
8153223	protein tyrosine kinase 2	PTK2	5747	8q24.3	MAPK cascade /// activation of MAPKK activity /// microtubule cytoskeleton organization /// angiogenesis /// vasculogenesis /// stress fiber /// neuron migration /// placenta development /// regulation of protein phosphorylation /// positive regulation of protein phosphorylation /// heart morphogenesis /// actin binding /// protein kinase activity /// protein tyrosine kinase activity /// protein tyrosine kinase activity /// non-membrane spanning protein tyrosine kinase activity /// signal transducer activity /// receptor binding /// protein binding /// ATP binding /// nucleus /// cytoplasm /// microtubule organizing center /// cytosol /// cytosol /// cytoskeleton /// plasma membrane /// focal adhesion /// cell cortex /// apoptotic process /// cellular component disassembly involved in execution phase of apoptosis /// cytoskeleton organization /// cell adhesion /// signal complex assembly /// epidermal growth factor receptor signaling pathway /// epidermal growth factor receptor signaling pathway /// transforming growth factor beta receptor signaling pathway /// integrin-mediated signaling pathway /// integrin-mediated signaling pathway /// integrin-mediated signaling pathway /// small GTPase mediated signal transduction /// Ras protein signal transduction /// axon guidance /// blood coagulation /// positive regulation of cell proliferation /// insulin receptor signaling pathway /// regulation of cell shape /// JUN kinase binding /// fibroblast growth factor receptor signaling pathway /// embryo development /// regulation of endothelial cell migration /// regulation of epithelial cell migration /// programmed cell death /// positive regulation of phosphatidylinositol 3-kinase signaling /// apical plasma membrane /// cell migration /// peptidyl-tyrosine phosphorylation /// peptidyl-tyrosine phosphorylation /// protein kinase binding /// central nervous system neuron axonogenesis /// negative regulation of cell-cell adhesion /// establishment of cell polarity /// lamellipodium /// cell differentiation /// platelet activation /// extracellular matrix organization /// positive regulation of cell migration /// extrinsic component of cytoplasmic side of plasma membrane /// regulation of cell adhesion mediated by integrin /// netrin-activated signaling pathway /// peptidyl-tyrosine autophosphorylation /// Fc-epsilon receptor signaling pathway /// Fc-gamma receptor signaling pathway involved in phagocytosis /// establishment of nucleus localization /// regulation of cell proliferation /// SH2 domain binding /// negative regulation of apoptotic process /// regulation of GTPase activity /// endothelial cell migration /// positive regulation of phosphatidylinositol 3-kinase activity /// innate immune response /// innate immune response /// regulation of osteoblast differentiation /// positive regulation of protein kinase activity /// negative regulation of organ growth /// protein autophosphorylation /// vascular endothelial growth factor receptor signaling pathway /// neurotrophin TRK receptor signaling pathway /// ephrin receptor signaling pathway /// ephrin receptor signaling pathway /// cell motility /// negative regulation of axonogenesis /// regulation of cytoskeleton organization /// regulation of focal adhesion assembly /// regulation of focal adhesion assembly /// positive regulation of protein kinase B signaling /// negative regulation of synapse assembly /// growth hormone receptor signaling pathway /// regulation of substrate adhesion-dependent cell spreading /// positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process /// negative regulation of anoikis /// nucleotide binding /// angiogenesis /// blood vessel development /// protein kinase activity /// protein tyrosine kinase activity /// protein tyrosine kinase activity /// non-membrane spanning protein tyrosine kinase activity /// receptor binding /// nucleus /// cytoplasm /// cytoskeleton /// plasma membrane /// focal adhesion /// protein phosphorylation /// cytoskeleton organization /// cell adhesion /// epidermal growth factor receptor signaling pathway /// multicellular organismal development /// positive regulation of cell proliferation /// membrane /// kinase activity /// phosphorylation /// cell migration /// transferase activity /// cell junction /// cell differentiation /// extrinsic component of cytoplasmic side of plasma membrane /// peptidyl-tyrosine autophosphorylation /// innate immune response /// cellular response to transforming growth factor beta stimulus /// positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process /// signal transduction /// peptidyl-tyrosine phosphorylation /// transferase activity, transferring phosphorus-containing groups /// protein binding	full-length
8153258	solute carrier family 45, member 4	SLC45A4	57210	8q24.3	transport /// integral component of membrane /// membrane	full-length
8153322	activity-regulated cytoskeleton-associated protein	ARC	23237	8q24.3	acrosomal vesicle /// cytoplasm /// endosome /// plasma membrane /// endocytosis /// cytoskeleton organization /// endoderm development /// learning /// anterior/posterior pattern specification /// postsynaptic density /// actin cytoskeleton /// cell migration /// regulation of cell morphogenesis /// cell junction /// dendritic spine /// postsynaptic membrane /// regulation of neuronal synaptic plasticity /// positive regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity /// membrane /// cytoskeleton /// multicellular organismal development /// dendrite /// cytoplasmic vesicle /// cell projection /// synapse /// cytoplasm /// plasma membrane /// protein binding	full-length
8153328	Jrk helix-turn-helix protein	JRK	8629	8q24.3	DNA binding /// protein binding /// nucleus /// molecular_function /// nucleic acid binding /// cellular_component /// biological_process /// mRNA binding /// cytoplasm /// ribonucleoprotein complex	full-length
8153359	lymphocyte antigen 6 complex, locus D	LY6D	8581	8q24.3	plasma membrane /// cell adhesion /// cell surface /// membrane /// lymphocyte differentiation /// anchored component of membrane /// response to stilbenoid /// cell adhesion /// membrane	full-length
8153363	cytochrome P450, family 11, subfamily B, polypeptide 1	CYP11B1	1584	8q24.3	steroid 11-beta-monooxygenase activity /// steroid 11-beta-monooxygenase activity /// iron ion binding /// mitochondrion /// mitochondrial inner membrane /// mitochondrial inner membrane /// C21-steroid hormone biosynthetic process /// glucocorticoid biosynthetic process /// xenobiotic metabolic process /// immune response /// steroid metabolic process /// cholesterol metabolic process /// regulation of blood pressure /// sterol metabolic process /// oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen /// heme binding /// heme binding /// aldosterone biosynthetic process /// aldosterone biosynthetic process /// cellular response to hormone stimulus /// cortisol biosynthetic process /// cortisol biosynthetic process /// cellular response to potassium ion /// glucose homeostasis /// small molecule metabolic process /// secondary metabolite biosynthetic process /// corticosterone 18-monooxygenase activity /// oxidation-reduction process /// cellular response to peptide hormone stimulus /// monooxygenase activity /// steroid 11-beta-monooxygenase activity /// mitochondrion /// lipid metabolic process /// steroid biosynthetic process /// steroid metabolic process /// cholesterol metabolic process /// membrane /// oxidoreductase activity /// oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen /// oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen /// heme binding /// heme binding /// mitochondrial membrane /// secondary metabolite biosynthetic process /// metal ion binding /// corticosterone 18-monooxygenase activity /// oxidation-reduction process /// oxidation-reduction process /// cellular response to peptide hormone stimulus	full-length
8153409	v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog A	MAFA	389692	8q24.3	RNA polymerase II core promoter proximal region sequence-specific DNA binding /// transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding /// transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding /// DNA binding /// transcription factor activity, sequence-specific DNA binding /// nucleus /// regulation of transcription, DNA-templated /// regulation of transcription from RNA polymerase II promoter /// transcription from RNA polymerase II promoter /// nitric oxide mediated signal transduction /// response to glucose /// insulin secretion /// protein homodimerization activity /// positive regulation of transcription from RNA polymerase II promoter /// protein heterodimerization activity /// transcription, DNA-templated /// positive regulation of transcription, DNA-templated /// sequence-specific DNA binding /// protein binding /// DNA binding /// transcription factor activity, sequence-specific DNA binding /// nucleus /// regulation of transcription, DNA-templated /// transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding /// regulation of transcription from RNA polymerase II promoter	full-length
8153411	zinc finger CCCH-type containing 3	ZC3H3	23144	8q24.3	DNA binding /// nucleus /// mRNA cleavage and polyadenylation specificity factor complex /// mRNA polyadenylation /// regulation of mRNA export from nucleus /// poly(A)+ mRNA export from nucleus /// positive regulation of activin receptor signaling pathway /// metal ion binding /// R-SMAD binding /// molecular_function /// nucleus /// transport /// mRNA 3'-end processing /// SMAD binding /// mRNA transport	full-length
8153459	pyrroline-5-carboxylate reductase-like	PYCRL	65263	8q24.3	pyrroline-5-carboxylate reductase activity /// protein binding /// cytosol /// cellular amino acid biosynthetic process /// cellular nitrogen compound metabolic process /// small molecule metabolic process /// oxidation-reduction process /// L-proline biosynthetic process /// pyrroline-5-carboxylate reductase activity /// pyrroline-5-carboxylate reductase activity /// proline biosynthetic process /// cellular amino acid biosynthetic process /// oxidoreductase activity /// identical protein binding /// protein binding	full-length
8153474	tissue specific transplantation antigen P35B	TSTA3	7264	8q24.3	cytoplasm /// leukocyte cell-cell adhesion /// electron carrier activity /// isomerase activity /// GDP-mannose metabolic process /// cytolysis /// 'de novo' GDP-L-fucose biosynthetic process /// 'de novo' GDP-L-fucose biosynthetic process /// 'de novo' GDP-L-fucose biosynthetic process /// GDP-4-dehydro-D-rhamnose reductase activity /// GDP-L-fucose synthase activity /// coenzyme binding /// oxidation-reduction process /// extracellular exosome /// catalytic activity /// metabolic process /// oxidoreductase activity /// GDP-L-fucose synthase activity	full-length
8153550	nuclear receptor binding protein 2	NRBP2	340371	8q24.3	protein kinase activity /// ATP binding /// cytoplasm /// protein phosphorylation /// negative regulation of macroautophagy /// neuron differentiation /// negative regulation of neuron apoptotic process /// cytoplasm /// nervous system development /// transferase activity, transferring phosphorus-containing groups	full-length
8153568	plectin	PLEC	5339	8q24.3	actin binding /// protein binding /// cytoplasm /// cytosol /// plasma membrane /// brush border /// focal adhesion /// apoptotic process /// cellular component disassembly involved in execution phase of apoptosis /// structural constituent of muscle /// structural constituent of muscle /// programmed cell death /// sarcoplasm /// hemidesmosome /// extracellular matrix organization /// ankyrin binding /// hemidesmosome assembly /// hemidesmosome assembly /// cell junction assembly /// sarcolemma /// costamere /// poly(A) RNA binding /// intermediate filament cytoskeleton /// extracellular exosome /// cytoplasm /// cytoskeleton /// cytoskeletal protein binding /// cell junction /// hemidesmosome /// contractile fiber /// membrane /// integral component of membrane /// protein binding	full-length
8153678	block of proliferation 1	BOP1	23246	8q24.3	cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) /// maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) /// protein binding /// nucleus /// nucleoplasm /// nucleolus /// cytoplasm /// cell proliferation /// ribonucleoprotein complex /// preribosome, large subunit precursor /// ribosome biogenesis /// ribosome biogenesis /// ribonucleoprotein complex binding /// poly(A) RNA binding /// regulation of cell cycle /// PeBoW complex /// maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) /// maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) /// nucleus /// nucleoplasm /// nucleolus /// rRNA processing /// cell proliferation /// preribosome, large subunit precursor /// preribosome, large subunit precursor /// ribosome biogenesis /// ribosomal large subunit biogenesis /// ribonucleoprotein complex binding /// ribonucleoprotein complex binding /// protein binding	full-length
8153684	diacylglycerol O-acyltransferase 1	DGAT1	8694	8q24.3	2-acylglycerol O-acyltransferase activity /// diacylglycerol O-acyltransferase activity /// diacylglycerol O-acyltransferase activity /// protein binding /// endoplasmic reticulum membrane /// triglyceride metabolic process /// phospholipid metabolic process /// integral component of membrane /// transferase activity, transferring acyl groups /// triglyceride biosynthetic process /// triglyceride biosynthetic process /// lipid storage /// very-low-density lipoprotein particle assembly /// long-chain fatty-acyl-CoA metabolic process /// acylglycerol acyl-chain remodeling /// retinol metabolic process /// cellular lipid metabolic process /// small molecule metabolic process /// diacylglycerol metabolic process /// glycerophospholipid biosynthetic process /// retinol O-fatty-acyltransferase activity /// fatty acid homeostasis /// diacylglycerol O-acyltransferase activity /// diacylglycerol O-acyltransferase activity /// diacylglycerol O-acyltransferase activity /// endoplasmic reticulum /// endoplasmic reticulum membrane /// O-acyltransferase activity /// membrane /// integral component of membrane /// transferase activity /// transferase activity, transferring acyl groups /// triglyceride biosynthetic process /// lipid storage /// long-chain fatty-acyl-CoA metabolic process /// intracellular membrane-bounded organelle /// diacylglycerol metabolic process /// glycerolipid metabolic process /// endoplasmic reticulum membrane /// metabolic process	full-length
8153704	scratch family zinc finger 1	SCRT1	83482	8q24.3	negative regulation of transcription from RNA polymerase II promoter /// DNA binding /// transcription factor activity, sequence-specific DNA binding /// nucleus /// transcription, DNA-templated /// regulation of transcription, DNA-templated /// metal ion binding /// regulation of neuron migration /// nucleic acid binding /// regulation of transcription, DNA-templated /// protein binding	full-length
